innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Glenn McGrath,4,0,21,1,5.25,11,2,0,0,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Mohammad Asif,4,0,34,1,8.50,7,5,0,1,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Yo Mahesh,4,0,31,1,7.75,13,5,0,0,2,Delhi Daredevils
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Pradeep Sangwan,4,0,40,0,10.00,6,3,2,2,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Shoaib Malik,1,0,11,0,11.00,1,1,0,1,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Virender Sehwag,2,0,21,1,10.50,5,1,2,0,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Rajat Bhatia,1,0,11,1,11.00,1,0,1,0,0,Delhi Daredevils
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Makhaya Ntini,4,0,29,0,7.25,10,3,1,0,0,Chennai Super Kings
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Manpreet Gony,4,0,39,1,9.75,8,3,2,1,0,Chennai Super Kings
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Albie Morkel,4,0,40,0,10.00,7,6,0,1,0,Chennai Super Kings
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Joginder Sharma,3,0,35,1,11.66,4,2,2,0,1,Chennai Super Kings
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-delhi-daredevils-20th-match-336001,Muthiah Muralidaran,4,0,27,0,6.75,9,2,0,0,1,Chennai Super Kings
