innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Parthiv Patel,c Ronchi b Nehra,14,11,14,3,0,127.27,Chennai Super Kings
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Matthew Hayden,run out (Harbhajan Singh),81,46,102,12,2,176.08,Chennai Super Kings
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Michael Hussey, b Kulkarni,5,9,7,1,0,55.55,Chennai Super Kings
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Suresh Raina,c Bravo b Khote,53,37,54,3,3,143.24,Chennai Super Kings
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,MS Dhoni (c)†,c Bravo b Khote,30,16,31,4,1,187.50,Chennai Super Kings
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Jacob Oram,not out ,5,2,9,1,0,250.00,Chennai Super Kings
1,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,S Badrinath,not out ,2,1,2,0,0,200.00,Chennai Super Kings
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Luke Ronchi,run out (Badrinath),2,3,5,0,0,66.66,Mumbai Indians
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Sanath Jayasuriya,c Joginder Sharma b Gony,20,11,18,4,0,181.81,Mumbai Indians
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Robin Uthappa, b Joginder Sharma,43,36,38,6,1,119.44,Mumbai Indians
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Shaun Pollock, b Amarnath,17,15,36,0,1,113.33,Mumbai Indians
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Dwayne Bravo,c Oram b Joginder Sharma,24,16,26,2,1,150.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Abhishek Nayar,not out ,45,20,53,6,1,225.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Musavir Khote,c Raina b Muralidaran,9,5,6,0,1,180.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Harbhajan Singh (c),c Badrinath b Muralidaran,28,14,21,1,3,200.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,chennai-super-kings-vs-mumbai-indians-8th-match-335989,Ashish Nehra,not out ,1,2,8,0,0,50.00,Mumbai Indians
