innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Glenn McGrath,4,1,22,0,5.50,16,4,0,0,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Mohammad Asif,4,0,19,2,4.75,17,0,2,0,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Farveez Maharoof,4,0,36,2,9.00,10,3,2,1,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Yo Mahesh,4,0,35,1,8.75,7,3,1,0,1,Delhi Daredevils
1,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Rajat Bhatia,4,0,27,2,6.75,9,2,1,0,0,Delhi Daredevils
2,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Chaminda Vaas,3,0,22,0,7.33,7,3,0,1,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,RP Singh,3,0,27,1,9.00,7,5,0,1,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Sanjay Bangar,2,0,30,0,15.00,3,3,2,1,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Shahid Afridi,2,0,17,0,8.50,3,0,1,0,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Andrew Symonds,2,0,35,0,17.50,4,4,3,0,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,deccan-chargers-vs-delhi-daredevils-7th-match-335988,Pragyan Ojha,1,0,7,0,7.00,3,0,0,2,0,Deccan Chargers
