innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Glenn McGrath,4,1,21,1,5.25,16,2,1,1,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Brett Geeves,4,0,41,0,10.25,8,7,0,0,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Farveez Maharoof,4,0,11,2,2.75,13,0,0,0,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Rajat Bhatia,4,0,17,2,4.25,13,1,0,1,0,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Daniel Vettori,4,0,35,1,8.75,8,3,2,0,0,Delhi Daredevils
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Munaf Patel,3,0,25,0,8.33,10,4,1,0,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Shane Watson,4,0,31,1,7.75,9,5,0,1,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Siddharth Trivedi,3,0,32,0,10.66,6,5,0,3,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Shane Warne,2,0,16,0,8.00,2,2,0,0,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Yusuf Pathan,2.1,0,17,0,7.84,4,2,0,1,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-rajasthan-royals-3rd-match-335984,Dinesh Salunkhe,1,0,11,0,11.00,0,0,0,1,0,Rajasthan Royals
