innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Gautam Gambhir,c Kumar b Khan,86,54,-,11,1,159.25,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Virender Sehwag (c),run out (Taylor),24,12,-,3,1,200.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Shikhar Dhawan,c Dravid b Kallis,50,33,-,4,3,151.51,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Shoaib Malik, b Steyn,6,4,-,1,0,150.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Dinesh Karthik, b Kallis,2,4,-,0,0,50.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Manoj Tiwary,not out ,11,9,-,1,0,122.22,Delhi Daredevils
1,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Rajat Bhatia,not out ,8,5,-,1,0,160.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Praveen Kumar,c Dhawan b McGrath,6,5,-,1,0,120.00,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Wasim Jaffer,c Mahesh b McGrath,10,9,-,0,1,111.11,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Ross Taylor,c Dhawan b McGrath,29,15,-,3,2,193.33,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Jacques Kallis, b Vettori,54,44,-,6,1,122.72,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Rahul Dravid (c),c Sehwag b McGrath,38,30,-,4,1,126.66,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Mark Boucher,not out ,31,17,-,2,2,182.35,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998,Virat Kohli,not out ,1,1,-,0,0,100.00,Royal Challengers Bangalore
