innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Gautam Gambhir,c Yuvraj Singh b Singh,18,14,-,3,0,128.57,Delhi Daredevils
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Virender Sehwag (c),lbw b Pathan,6,6,-,1,0,100.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Shikhar Dhawan,c Sangakkara b Lee,0,3,-,0,0,0.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Shoaib Malik,c Lee b Singh,19,17,-,3,0,111.76,Delhi Daredevils
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Manoj Tiwary,c Yuvraj Singh b Singh,39,34,-,6,0,114.70,Delhi Daredevils
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Dinesh Karthik, b Yuvraj Singh,24,14,-,2,1,171.42,Delhi Daredevils
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Rajat Bhatia, b Pathan,17,15,-,1,1,113.33,Delhi Daredevils
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Farveez Maharoof,run out (Jayawardene/Sangakkara),18,12,-,2,0,150.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Yo Mahesh,not out ,6,5,-,0,0,120.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Karan Goel,lbw b McGrath,1,3,-,0,0,33.33,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Simon Katich,run out (Sehwag/Bhatia),75,52,-,11,1,144.23,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Kumar Sangakkara,c Karthik b Mohammad Asif,4,2,-,1,0,200.00,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Mahela Jayawardene,c & b Shoaib Malik,15,14,-,2,0,107.14,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Yuvraj Singh (c),not out ,40,29,-,3,2,137.93,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Tanmay Srivastava,c Karthik b Mahesh,7,9,-,0,0,77.77,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Irfan Pathan,c Karthik b Mohammad Asif,10,7,-,2,0,142.85,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-delhi-daredevils-13th-match-335995,Brett Lee,not out ,1,3,-,0,0,33.33,Kings XI Punjab
