innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Shaun Pollock,4,0,40,1,10.00,8,5,1,1,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Ashish Nehra,3,0,22,2,7.33,7,2,0,0,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Dhawal Kulkarni,4,0,37,2,9.25,10,3,2,1,1,Mumbai Indians
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Harbhajan Singh,4,0,32,3,8.00,9,4,0,1,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Dwayne Bravo,3,0,27,0,9.00,6,2,1,0,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Musavir Khote,2,0,22,0,11.00,2,2,1,0,0,Mumbai Indians
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Brett Lee,4,0,9,1,2.25,18,1,0,0,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Irfan Pathan,4,1,19,2,4.75,15,1,1,2,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Vikram Singh,4,0,40,1,10.00,10,5,2,1,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Sreesanth,4,0,31,2,7.75,12,3,1,0,2,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-mumbai-indians-10th-match-335991,Piyush Chawla,4,0,16,2,4.00,15,2,0,1,0,Kings XI Punjab
