innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Munaf Patel,4,0,37,0,9.25,12,3,3,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Shane Watson,4,0,40,1,10.00,11,7,1,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Pankaj Singh,3,0,48,0,16.00,3,4,3,1,1,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Dinesh Salunkhe,3,0,23,0,7.66,7,2,1,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Siddharth Trivedi,4,0,48,0,12.00,7,3,4,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Yusuf Pathan,2,0,24,1,12.00,2,1,2,0,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Irfan Pathan,4,0,10,1,2.50,17,1,0,0,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Sreesanth,3,0,44,1,14.66,5,5,3,1,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,James Hopes,3,0,29,2,9.66,8,6,0,0,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Ramesh Powar,1,0,7,0,7.00,2,1,0,0,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Vikram Singh,4,0,32,0,8.00,7,4,0,0,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Piyush Chawla,4,0,35,3,8.75,7,0,3,0,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-rajasthan-royals-56th-match-336019,Yuvraj Singh,1,0,20,0,20.00,0,1,2,0,0,Kings XI Punjab
