innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Jagadeesh Arunkumar,c Jayawardene b Sreesanth,1,3,-,0,0,33.33,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Virat Kohli, b Chawla,21,22,-,4,0,95.45,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Misbah-ul-Haq,hit wicket b Sreesanth,21,8,-,3,1,262.50,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Cameron White,c & b Chawla,10,14,-,0,0,71.42,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Rahul Dravid (c), b Pathan,29,26,-,2,0,111.53,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Mark Boucher,run out (Chawla/Kaul),39,32,-,4,1,121.87,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Praveen Kumar, b Sreesanth,5,7,-,0,0,71.42,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Vinay Kumar, b Singh,1,3,-,0,0,33.33,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Zaheer Khan,not out ,1,4,-,0,0,25.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Anil Kumble,not out ,0,1,-,0,0,0.00,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Shaun Marsh,not out ,74,51,-,9,2,145.09,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,James Hopes,c Steyn b Vinay Kumar,27,19,-,0,3,142.10,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016,Luke Pomersbach,not out ,34,24,-,3,2,141.66,Kings XI Punjab
