innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Ashok Dinda,3,0,18,1,6.00,9,1,0,0,1,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Ishant Sharma,3,1,9,1,3.00,13,0,0,3,0,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Ajit Agarkar,2,0,19,2,9.50,6,1,2,0,0,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Murali Kartik,3.4,0,17,3,4.63,14,3,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Mohammad Hafeez,4,0,8,1,2.00,17,0,0,0,1,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,David Hussey,3,0,35,1,11.66,7,1,4,1,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Chaminda Vaas,3,0,9,2,3.00,12,1,0,0,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,RP Singh,3,0,15,1,5.00,10,2,0,0,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Scott Styris,4,0,19,0,4.75,15,1,1,1,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Sanjay Bangar,3,0,19,0,6.33,13,1,1,2,0,Deccan Chargers
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Andrew Symonds,2,0,20,0,10.00,4,0,1,2,1,Deccan Chargers
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-deccan-chargers-4th-match-335986,Pragyan Ojha,4,0,18,2,4.50,13,0,1,2,0,Deccan Chargers
