innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Salman Butt,c McGrath b Mahesh,48,44,-,7,0,109.09,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Aakash Chopra,c Maharoof b Sangwan,13,17,-,2,0,76.47,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Sourav Ganguly (c), b Mahesh,7,4,-,0,1,175.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,David Hussey,c Tiwary b Maharoof,31,31,-,0,2,100.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Tatenda Taibu,run out (Dilshan/de Villiers),7,9,-,0,0,77.77,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Laxmi Shukla,c Gambhir b Maharoof,10,8,-,1,0,125.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Wriddhiman Saha,not out ,5,6,-,0,0,83.33,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Iqbal Abdulla,not out ,1,2,-,0,0,50.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Gautam Gambhir,c Hussey b Shoaib Akhtar,10,7,-,2,0,142.85,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Virender Sehwag (c),c Saha b Shoaib Akhtar,0,1,-,0,0,0.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,AB de Villiers,c Taibu b Shoaib Akhtar,7,12,-,0,0,58.33,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Manoj Tiwary,lbw b Shoaib Akhtar,9,7,-,2,0,128.57,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Shikhar Dhawan, b Dinda,7,10,-,1,0,70.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Tillakaratne Dilshan,run out (Shukla/Saha),25,19,-,5,0,131.57,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Amit Mishra,c Sharma b Shukla,31,32,-,3,0,96.87,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Farveez Maharoof,run out (Dinda),10,12,-,0,0,83.33,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Yo Mahesh, b Shukla,3,6,-,0,0,50.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Pradeep Sangwan,c Hussey b Shukla,0,1,-,0,0,0.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017,Glenn McGrath,not out ,0,0,-,0,0,-,Delhi Daredevils
