innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Shaun Marsh,c Chopra b Mendis,40,31,-,3,2,129.03,Kings XI Punjab
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,James Hopes,lbw b Umar Gul,13,10,-,2,0,130.00,Kings XI Punjab
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Kumar Sangakkara,lbw b Umar Gul,64,45,-,7,2,142.22,Kings XI Punjab
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Yuvraj Singh (c),run out (Saha),27,18,-,3,1,150.00,Kings XI Punjab
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Mahela Jayawardene,not out ,11,10,-,1,0,110.00,Kings XI Punjab
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Irfan Pathan, b Umar Gul,7,4,-,1,0,175.00,Kings XI Punjab
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Piyush Chawla, b Umar Gul,0,1,-,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Tanmay Srivastava,not out ,1,1,-,0,0,100.00,Kings XI Punjab
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Salman Butt,c Srivastava b Sreesanth,24,19,-,5,0,126.31,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Sourav Ganguly (c),not out ,86,53,-,6,6,162.26,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Debabrata Das,lbw b Sreesanth,0,1,-,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,David Hussey, b Chawla,12,11,-,2,0,109.09,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Laxmi Shukla, b Singh,5,4,-,1,0,125.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Wriddhiman Saha,c Pathan b Chawla,13,15,-,2,0,86.66,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Aakash Chopra,c Sangakkara b Hopes,2,3,-,0,0,66.66,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Umar Gul,c Powar b Singh,24,11,-,1,3,218.18,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-kings-xi-punjab-52nd-match-336035,Ishant Sharma,not out ,0,1,-,0,0,0.00,Kolkata Knight Riders
