innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Brendon McCullum,lbw b Pollock,1,2,-,0,0,50.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Sourav Ganguly (c),c Jayasuriya b Pollock,4,2,-,1,0,200.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Ricky Ponting,run out (Rahane/Jayasuriya),19,31,-,1,0,61.29,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Debabrata Das,c Uthappa b Bravo,29,20,-,5,1,145.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,David Hussey,c Nehra b Jayasuriya,17,20,-,3,0,85.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Mohammad Hafeez,c Shah b Jayasuriya,2,6,-,0,0,33.33,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Laxmi Shukla,not out ,40,22,-,4,2,181.81,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Ajit Agarkar,c Nehra b Jayasuriya,2,6,-,0,0,33.33,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Murali Kartik,c Jayasuriya b Fernando,10,11,-,1,0,90.90,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Ishant Sharma,not out ,0,0,-,0,0,-,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Ajinkya Rahane,c Hussey b Agarkar,4,10,-,1,0,40.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Sanath Jayasuriya, b Sharma,18,10,-,3,1,180.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Manish Pandey, b Dinda,0,3,-,0,0,0.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Robin Uthappa,not out ,37,37,-,5,0,100.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-mumbai-indians-16th-match-335997,Dwayne Bravo,not out ,64,53,-,8,1,120.75,Mumbai Indians
