innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Salman Butt,lbw b Patel,24,20,-,5,0,120.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Mohammad Hafeez,c Asnodkar b Patel,4,8,-,1,0,50.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Sourav Ganguly (c),c Kaif b Trivedi,32,34,-,2,1,94.11,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,David Hussey, b Pathan,11,15,-,2,0,73.33,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Debabrata Das, b Sohail Tanvir,31,20,-,1,2,155.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Laxmi Shukla,c Asnodkar b Sohail Tanvir,15,10,-,1,1,150.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Wriddhiman Saha,not out ,11,6,-,0,1,183.33,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Ajit Agarkar,run out (Jadeja/Rawat),5,2,-,1,0,250.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Umar Gul,c Kaif b Sohail Tanvir,7,4,-,0,1,175.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Ishant Sharma,not out ,2,1,-,0,0,200.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Graeme Smith,c Saha b Umar Gul,24,24,-,4,0,100.00,Rajasthan Royals
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Swapnil Asnodkar,c Saha b Sharma,5,3,-,1,0,166.66,Rajasthan Royals
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Sohail Tanvir,c Salman Butt b Umar Gul,13,8,-,1,1,162.50,Rajasthan Royals
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Mohammad Kaif,not out ,34,31,-,4,0,109.67,Rajasthan Royals
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Shane Watson, b Ganguly,19,15,-,2,1,126.66,Rajasthan Royals
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Yusuf Pathan,not out ,48,18,-,5,3,266.66,Rajasthan Royals
