innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Sohail Tanvir,4,0,26,3,6.50,13,2,1,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Munaf Patel,4,1,22,2,5.50,14,4,0,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Shane Watson,4,0,36,0,9.00,7,4,1,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Siddharth Trivedi,3,0,26,1,8.66,7,3,1,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Shane Warne,3,0,21,0,7.00,9,0,2,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Yusuf Pathan,2,0,14,1,7.00,3,0,1,0,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Ashok Dinda,4,0,32,0,8.00,9,5,0,0,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Ishant Sharma,3,0,23,1,7.66,6,3,0,0,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Ajit Agarkar,3,0,30,0,10.00,7,3,2,0,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Umar Gul,3.3,1,30,2,8.57,12,4,1,3,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Sourav Ganguly,2,0,24,1,12.00,5,2,2,0,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027,Laxmi Shukla,1,0,7,0,7.00,2,0,0,0,0,Kolkata Knight Riders
