innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Dale Steyn,4,0,27,3,6.75,11,4,0,1,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Zaheer Khan,3,0,27,1,9.00,7,3,0,1,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Praveen Kumar,3,0,36,1,12.00,7,3,3,0,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Vinay Kumar,3,0,15,0,5.00,8,1,0,0,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Anil Kumble,3,0,21,0,7.00,10,1,2,0,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Ashok Dinda,3,0,20,0,6.66,8,3,0,1,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Ishant Sharma,4,0,25,1,6.25,10,3,0,0,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Umar Gul,3,0,30,0,10.00,7,5,0,1,1,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Sourav Ganguly,3,0,7,1,2.33,11,0,0,0,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Murali Kartik,2,0,24,0,12.00,3,3,1,0,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010,Laxmi Shukla,1,0,15,0,15.00,0,1,1,0,0,Kolkata Knight Riders
