innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Shaun Pollock,4,1,9,1,2.25,17,0,0,0,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Ashish Nehra,4,0,31,0,7.75,12,6,0,1,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Dwayne Bravo,4,0,37,2,9.25,10,4,2,0,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Dhawal Kulkarni,4,0,33,3,8.25,13,5,0,4,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Rohan Raje,3,0,33,0,11.00,4,4,1,1,0,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Dominic Thornely,1,0,10,0,10.00,3,2,0,1,0,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Manpreet Gony,3,0,31,0,10.33,10,1,3,3,0,Chennai Super Kings
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Albie Morkel,3,0,44,0,14.66,10,3,5,2,0,Chennai Super Kings
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Lakshmipathy Balaji,2,0,9,0,4.50,9,1,0,3,0,Chennai Super Kings
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Joginder Sharma,3,0,24,1,8.00,9,2,1,2,0,Chennai Super Kings
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Muthiah Muralidaran,2,0,20,0,10.00,3,3,0,1,0,Chennai Super Kings
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-chennai-super-kings-36th-match-336018,Chamara Kapugedera,0.5,0,26,0,31.20,0,2,3,0,0,Chennai Super Kings
