innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Yogesh Takawale,c Sangwan b Mahesh,14,20,-,2,0,70.00,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Sanath Jayasuriya, b Mahesh,34,16,-,6,1,212.50,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Dominic Thornely, b Bhatia,30,24,-,2,2,125.00,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Robin Uthappa,c Shoaib Malik b Sangwan,22,21,-,0,2,104.76,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Dwayne Bravo,c Mahesh b Shoaib Malik,2,4,-,0,0,50.00,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Abhishek Nayar, b Sehwag,2,6,-,0,0,33.33,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Shaun Pollock (c),c de Villiers b Mahesh,33,15,-,2,3,220.00,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Saurabh Tiwary,c Shoaib Malik b Mohammad Asif,9,10,-,1,0,90.00,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Rohan Raje,not out ,6,5,-,1,0,120.00,Mumbai Indians
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Ashish Nehra,not out ,0,0,-,0,0,-,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Gautam Gambhir,c Uthappa b Nehra,1,9,-,0,0,11.11,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Virender Sehwag (c),c Pollock b Thornely,40,20,-,3,3,200.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Shikhar Dhawan,c Uthappa b Pollock,1,3,-,0,0,33.33,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,AB de Villiers,run out (Kulkarni),21,17,-,2,1,123.52,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Shoaib Malik,c Nayar b Pollock,24,22,-,1,0,109.09,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Dinesh Karthik,lbw b Bravo,28,23,-,3,0,121.73,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Rajat Bhatia,c Uthappa b Nehra,9,8,-,0,1,112.50,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Pradeep Sangwan,c Tiwary b Nehra,2,4,-,0,0,50.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Yo Mahesh,not out ,3,5,-,0,0,60.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Mohammad Asif,c Nehra b Kulkarni,0,1,-,0,0,0.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-delhi-daredevils-23rd-match-336004,Glenn McGrath,c Thornely b Kulkarni,0,2,-,0,0,0.00,Delhi Daredevils
