innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Salman Butt,c Tendulkar b Pollock,13,13,-,1,1,100.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Aakash Chopra,run out (Uthappa/Pollock),1,4,-,0,0,25.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Sourav Ganguly (c),c Takawale b Thornely,15,20,-,2,0,75.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,David Hussey,c Takawale b Pollock,2,7,-,0,0,28.57,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Mohammad Hafeez,c Uthappa b Pollock,5,11,-,1,0,45.45,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Wriddhiman Saha,c Tendulkar b Bravo,1,6,-,0,0,16.66,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Laxmi Shukla, b Raje,0,4,-,0,0,0.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Ajit Agarkar,c Tendulkar b Bravo,15,14,-,2,0,107.14,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Shoaib Akhtar,c Tendulkar b Raje,2,7,-,0,0,28.57,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Ishant Sharma,c & b Thornely,4,5,-,1,0,80.00,Kolkata Knight Riders
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Ashok Dinda,not out ,1,1,-,0,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Sanath Jayasuriya,not out ,48,17,-,6,3,282.35,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Sachin Tendulkar (c),c Saha b Shoaib Akhtar,0,3,-,0,0,0.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Robin Uthappa,c Ganguly b Sharma,9,8,-,2,0,112.50,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-kolkata-knight-riders-38th-match-336021,Dominic Thornely,not out ,1,6,-,0,0,16.66,Mumbai Indians
