innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Graeme Smith,st Takawale b Pollock,5,9,-,0,0,55.55,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Swapnil Asnodkar,c Uthappa b Raje,39,36,-,3,1,108.33,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Yusuf Pathan, b Nehra,1,3,-,0,0,33.33,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Shane Watson, b Bravo,32,20,-,4,1,160.00,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Mohammad Kaif,c Nehra b Raje,4,7,-,0,0,57.14,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Ravindra Jadeja,c Takawale b Kulkarni,0,1,-,0,0,0.00,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Shane Warne (c),c Takawale b Kulkarni,7,7,-,1,0,100.00,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Sohail Tanvir, b Nehra,6,6,-,1,0,100.00,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Mahesh Rawat,c Takawale b Nehra,1,5,-,0,0,20.00,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Siddharth Trivedi, b Bravo,1,3,-,0,0,33.33,Rajasthan Royals
1,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Munaf Patel,not out ,0,1,-,0,0,0.00,Rajasthan Royals
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Yogesh Takawale, b Warne,27,32,-,1,1,84.37,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Sanath Jayasuriya,c Pathan b Watson,18,20,-,1,1,90.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Robin Uthappa,not out ,34,21,-,4,1,161.90,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Dwayne Bravo,c Asnodkar b Watson,1,5,-,0,0,20.00,Mumbai Indians
2,indian-premier-league-2007-08-313494,mumbai-indians-vs-rajasthan-royals-27th-match-336008,Abhishek Nayar,not out ,12,13,-,1,0,92.30,Mumbai Indians
