innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Gautam Gambhir, b Trivedi,31,23,-,4,0,134.78,Delhi Daredevils
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Virender Sehwag (c),c Kaif b Watson,17,20,-,2,0,85.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Shikhar Dhawan,run out (MM Patel),3,3,-,0,0,100.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,AB de Villiers,c Warne b Mascarenhas,20,22,-,0,0,90.90,Delhi Daredevils
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Dinesh Karthik,c Rawat b Mascarenhas,13,15,-,1,0,86.66,Delhi Daredevils
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Tillakaratne Dilshan,not out ,18,15,-,1,1,120.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Amit Mishra, b Trivedi,4,5,-,0,0,80.00,Delhi Daredevils
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Farveez Maharoof,c NK Patel b Watson,39,16,-,2,4,243.75,Delhi Daredevils
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Yo Mahesh,not out ,0,1,-,0,0,0.00,Delhi Daredevils
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Yusuf Pathan,run out (de Villiers),8,13,-,1,0,61.53,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Graeme Smith,c Mahesh b Mishra,24,27,-,3,0,88.88,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Mohammad Kaif,run out (Sehwag/Karthik),1,5,-,0,0,20.00,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Shane Watson,run out (Karthik),74,40,-,5,5,185.00,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Ravindra Jadeja, b Mishra,6,6,-,1,0,100.00,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Dimitri Mascarenhas, b Sehwag,9,8,-,0,1,112.50,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Shane Warne (c), b Maharoof,11,12,-,1,0,91.66,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Niraj Patel,not out ,4,2,-,1,0,200.00,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Mahesh Rawat,not out ,5,4,-,1,0,125.00,Rajasthan Royals
