innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Dimitri Mascarenhas,4,0,29,2,7.25,10,3,0,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Shane Watson,4,0,21,2,5.25,13,3,0,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Munaf Patel,4,0,24,0,6.00,9,2,0,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Siddharth Trivedi,4,0,28,2,7.00,9,1,1,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Shane Warne,4,0,47,0,11.75,6,1,4,0,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Glenn McGrath,4,0,12,0,3.00,16,1,0,1,0,Delhi Daredevils
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Farveez Maharoof,4,0,22,1,5.50,15,3,0,2,0,Delhi Daredevils
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Pradeep Sangwan,4,0,33,0,8.25,6,2,1,0,0,Delhi Daredevils
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Yo Mahesh,2.1,0,35,0,16.15,5,4,2,0,2,Delhi Daredevils
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Amit Mishra,3,0,27,2,9.00,6,2,1,2,1,Delhi Daredevils
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-delhi-daredevils-33rd-match-336015,Virender Sehwag,2,0,21,1,10.50,4,1,2,0,0,Delhi Daredevils
