innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Graeme Smith, b Sharma,2,7,-,0,0,28.57,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Swapnil Asnodkar,c Hussey b Umar Gul,60,34,-,10,1,176.47,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Mohammad Kaif,c & b Agarkar,21,18,-,3,1,116.66,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Yusuf Pathan, b Umar Gul,55,33,-,6,2,166.66,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Shane Watson,lbw b Umar Gul,0,1,-,0,0,0.00,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Ravindra Jadeja, b Shukla,33,19,-,3,1,173.68,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Shane Warne (c),run out (Umar Gul/Saha),7,8,-,0,0,87.50,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Sohail Tanvir,not out ,3,3,-,0,0,100.00,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Mahesh Rawat,not out ,1,1,-,0,0,100.00,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Salman Butt, b Sohail Tanvir,7,7,-,1,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Sourav Ganguly (c),c Kaif b Warne,51,39,-,4,2,130.76,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Ajit Agarkar,c Rawat b Watson,20,13,-,1,2,153.84,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Brad Hodge,run out (Trivedi),1,3,-,0,0,33.33,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,David Hussey, b Trivedi,42,30,-,1,2,140.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Laxmi Shukla,run out (Jadeja/Rawat),2,2,-,0,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Debabrata Das,c Watson b Sohail Tanvir,11,13,-,1,0,84.61,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Wriddhiman Saha, b Trivedi,1,2,-,0,0,50.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Umar Gul,run out (Jadeja/Rawat),2,2,-,0,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Ishant Sharma,not out ,1,1,-,0,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000,Ashok Dinda,c sub (T Kohli) b Watson,1,3,-,0,0,33.33,Kolkata Knight Riders
