innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Sohail Tanvir,4,0,14,4,3.50,15,1,0,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Shane Watson,3,0,30,0,10.00,9,4,1,1,1,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Pankaj Singh,2,0,25,0,12.50,2,3,0,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Yusuf Pathan,3,0,9,0,3.00,10,0,0,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Siddharth Trivedi,4,0,31,2,7.75,7,3,0,2,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Shane Warne,4,0,30,1,7.50,8,3,0,1,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Shaun Pollock,4,0,26,0,6.50,9,3,0,1,0,Mumbai Indians
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Ashish Nehra,3,0,18,0,6.00,10,3,0,1,0,Mumbai Indians
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Dilhara Fernando,4,0,27,2,6.75,11,1,1,3,0,Mumbai Indians
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Dwayne Smith,2,0,16,0,8.00,3,2,0,0,0,Mumbai Indians
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Abhishek Nayar,1,0,4,0,4.00,2,0,0,0,0,Mumbai Indians
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Rohan Raje,4,0,37,1,9.25,6,2,1,0,1,Mumbai Indians
2,indian-premier-league-2007-08-313494,rajasthan-royals-vs-mumbai-indians-53rd-match-336036,Sanath Jayasuriya,2,0,8,0,4.00,5,0,0,0,0,Mumbai Indians
