innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Wasim Jaffer,c Kaul b Sreesanth,0,4,-,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Virat Kohli,c Sreesanth b Pathan,34,36,-,5,0,94.44,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Cameron White, b Sreesanth,0,1,-,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Jacques Kallis,run out (Marsh),0,3,-,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Rahul Dravid (c),c Jayawardene b Singh,66,51,-,9,1,129.41,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Misbah-ul-Haq,lbw b Chawla,8,7,-,1,0,114.28,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Praveen Kumar,c Kaul b Chawla,0,2,-,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Devraj Patil,run out (Pathan),4,1,-,1,0,400.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Zaheer Khan, b Chawla,0,1,-,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Anil Kumble,run out (Kaul),3,7,-,0,0,42.85,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Dale Steyn,not out ,1,3,-,0,0,33.33,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Shaun Marsh, b Khan,39,34,-,4,1,114.70,Kings XI Punjab
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,James Hopes,c White b Khan,5,4,-,1,0,125.00,Kings XI Punjab
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Ramnaresh Sarwan,c Patil b Kumar,31,29,-,4,1,106.89,Kings XI Punjab
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Yuvraj Singh (c),c Patil b Kumar,1,4,-,0,0,25.00,Kings XI Punjab
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Mahela Jayawardene,not out ,17,22,-,2,0,77.27,Kings XI Punjab
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Irfan Pathan,not out ,17,17,-,1,1,100.00,Kings XI Punjab
