innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Sreesanth,4,0,16,2,4.00,17,2,0,2,0,Kings XI Punjab
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Irfan Pathan,3.2,0,13,1,3.90,14,2,0,1,0,Kings XI Punjab
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Gagandeep Singh,3,0,28,0,9.33,4,4,0,0,0,Kings XI Punjab
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Vikram Singh,4,0,33,1,8.25,10,4,1,1,0,Kings XI Punjab
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Piyush Chawla,4,0,25,3,6.25,12,2,0,1,0,Kings XI Punjab
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,James Hopes,1,0,10,0,10.00,2,2,0,0,0,Kings XI Punjab
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Dale Steyn,4,0,16,0,4.00,15,0,1,2,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Zaheer Khan,4,0,29,2,7.25,13,4,0,3,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Praveen Kumar,4,1,22,2,5.50,13,2,1,0,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Jacques Kallis,3,0,14,0,4.66,7,1,0,0,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006,Anil Kumble,3.2,0,36,0,10.80,7,5,1,2,0,Royal Challengers Bangalore
