innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Mark Boucher,c Uthappa b Fernando,18,15,-,3,0,120.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Shreevats Goswami,c Nehra b Fernando,20,24,-,1,0,83.33,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Misbah-ul-Haq,c Tendulkar b Fernando,0,1,-,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Rahul Dravid (c), b Smith,11,16,-,0,0,68.75,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Cameron White,c Fernando b Smith,26,20,-,3,1,130.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Virat Kohli,c Takawale b Nehra,0,1,-,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Balachandra Akhil,lbw b Smith,5,4,-,1,0,125.00,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Praveen Kumar,run out (Fernando/Takawale),8,11,-,1,0,72.72,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Vinay Kumar,c Uthappa b Fernando,23,17,-,2,1,135.29,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Anil Kumble,not out ,0,0,-,0,0,-,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Sanath Jayasuriya,c Akhil b Steyn,54,37,-,4,4,145.94,Mumbai Indians
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Sachin Tendulkar (c),not out ,40,43,-,4,1,93.02,Mumbai Indians
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012,Robin Uthappa,not out ,19,16,-,2,1,118.75,Mumbai Indians
