innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Shane Watson,4,0,20,2,5.00,15,3,0,0,1,Rajasthan Royals
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Sohail Tanvir,4,0,31,0,7.75,14,3,2,1,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Munaf Patel,3,0,20,2,6.66,9,2,1,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Siddharth Trivedi,4,0,29,1,7.25,12,3,1,2,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Shane Warne,4,1,23,1,5.75,15,1,2,0,0,Rajasthan Royals
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Yusuf Pathan,1,0,10,0,10.00,1,0,1,0,0,Rajasthan Royals
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Praveen Kumar,3,0,42,1,14.00,5,8,1,0,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Zaheer Khan,4,0,24,1,6.00,15,5,0,0,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Vinay Kumar,2,0,15,0,7.50,4,2,0,1,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Anil Kumble,4,0,22,0,5.50,10,2,0,1,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Jacques Kallis,1,0,7,0,7.00,2,1,0,0,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992,Sunil Joshi,3.1,0,27,1,8.52,9,4,1,0,0,Royal Challengers Bangalore
