innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Ravi Bopara,c Balaji b Morkel,1,8,-,0,0,12.50,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Irfan Pathan, b Balaji,39,32,-,5,1,121.87,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Kumar Sangakkara (c)†,st Patel b Muralidaran,15,16,-,2,0,93.75,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Mahela Jayawardene,lbw b Muralidaran,3,5,-,0,0,60.00,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Yuvraj Singh,c sub (GJ Bailey) b Morkel,43,28,-,4,2,153.57,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Mohammad Kaif,c Morkel b Muralidaran,14,16,-,0,0,87.50,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Manvinder  Bisla,run out (Hayden/Morkel),7,9,-,1,0,77.77,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Piyush Chawla,not out ,8,4,-,2,0,200.00,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Rusty Theron,run out (Raina),0,1,-,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Ramesh Powar,not out ,2,1,-,0,0,200.00,Kings XI Punjab
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Parthiv Patel,st Sangakkara b Chawla,57,58,-,4,2,98.27,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Matthew Hayden, b Powar,33,24,-,4,2,137.50,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Suresh Raina (c),run out (Theron),15,11,-,0,1,136.36,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Murali Vijay,lbw b Theron,0,3,-,0,0,0.00,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,S Badrinath,c Sangakkara b Yuvraj Singh,2,2,-,0,0,100.00,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Albie Morkel,not out ,12,12,-,1,0,100.00,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Manpreet Gony, b Theron,2,6,-,0,0,33.33,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kings-xi-punjab-16th-match-419121,Ravichandran Ashwin,c Kaif b Pathan,2,5,-,0,0,40.00,Chennai Super Kings
