innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Sourav Ganguly (c),lbw b Bollinger,10,12,-,2,0,83.33,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Chris Gayle,st Dhoni b Ashwin,7,4,-,0,1,175.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Brendon McCullum,c Muralidaran b Ashwin,0,4,-,0,0,0.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Manoj Tiwary,c Vijay b Raina,27,31,-,2,0,87.09,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,David Hussey,st Dhoni b Ashwin,0,3,-,0,0,0.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Angelo Mathews,c Hayden b Muralidaran,48,48,-,3,2,100.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Wriddhiman Saha,st Dhoni b Jakati,1,2,-,0,0,50.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Laxmi Shukla,c Hayden b Bollinger,17,10,-,0,2,170.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Ajit Agarkar,not out ,9,5,-,2,0,180.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Iqbal Abdulla,not out ,0,1,-,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Murali Vijay,not out ,50,40,-,4,2,125.00,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Matthew Hayden, b Gayle,0,2,-,0,0,0.00,Chennai Super Kings
2,indian-premier-league-2009-10-418064,chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153,Suresh Raina,not out ,78,39,-,11,3,200.00,Chennai Super Kings
