innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Irfan Pathan,3,0,16,1,5.33,7,1,0,0,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Sreesanth,4,0,51,0,12.75,5,4,3,1,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Shalabh Srivastava,4,0,39,1,9.75,6,5,1,0,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Piyush Chawla,3,0,24,0,8.00,4,1,1,0,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Bipul Sharma,2,0,19,1,9.50,2,1,1,0,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Yuvraj Singh,4,0,21,2,5.25,11,1,1,0,0,Kings XI Punjab
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Chaminda Vaas,4,0,27,2,6.75,15,4,1,1,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,RP Singh,4,0,43,1,10.75,11,4,3,1,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Andrew Symonds,4,0,22,1,5.50,10,2,0,0,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Pragyan Ojha,4,0,31,1,7.75,8,4,0,0,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Rohit Sharma,3,0,19,1,6.33,7,1,1,0,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-kings-xi-punjab-12th-match-419117,Jaskaran Singh,1,0,12,1,12.00,3,3,0,0,0,Deccan Chargers
