innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Kemar Roach,4,0,32,0,8.00,14,5,1,2,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Jaskaran Singh,3,0,30,2,10.00,8,4,0,1,4,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Pragyan Ojha,4,0,24,2,6.00,12,2,1,0,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,RP Singh,4,0,31,3,7.75,9,5,0,1,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Andrew Symonds,4,0,40,0,10.00,7,5,1,1,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Rohit Sharma,1,0,14,0,14.00,1,3,0,0,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Harbhajan Singh,4,0,31,3,7.75,7,4,0,2,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Ryan McLaren,3,0,24,0,8.00,9,3,1,1,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Zaheer Khan,3,0,21,3,7.00,10,1,2,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Lasith Malinga,3.4,0,12,3,3.27,14,0,0,1,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Dwayne Bravo,2,0,16,0,8.00,7,0,2,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-mumbai-indians-25th-match-419130,Kieron Pollard,2,0,20,1,10.00,3,1,1,0,0,Mumbai Indians
