innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Ryan Harris,4,0,34,2,8.50,11,4,1,1,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Dwayne Smith,2.5,0,22,1,7.76,5,3,0,0,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,RP Singh,4,0,17,3,4.25,13,1,0,1,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Harmeet Singh,4,0,25,2,6.25,13,2,1,1,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Andrew Symonds,2,0,18,0,9.00,3,0,1,0,0,Deccan Chargers
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Pragyan Ojha,3,0,37,1,12.33,2,4,1,1,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Yusuf Pathan,2,0,3,0,1.50,9,0,0,0,0,Rajasthan Royals
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Shane Watson,3,0,40,0,13.33,4,5,1,4,0,Rajasthan Royals
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Aditya Dole,4,0,42,2,10.50,8,3,2,1,1,Rajasthan Royals
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Morne Morkel,4,0,32,0,8.00,9,4,1,0,0,Rajasthan Royals
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Siddharth Trivedi,2.5,0,16,3,5.64,8,2,0,1,0,Rajasthan Royals
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-rajasthan-royals-36th-match-419141,Shane Warne,4,0,21,4,5.25,13,1,1,0,0,Rajasthan Royals
