innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Dale Steyn,4,0,18,3,4.50,14,2,0,2,0,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Vinay Kumar,3,0,19,1,6.33,8,0,1,0,0,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Jacques Kallis,4,0,40,0,10.00,9,6,1,0,0,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Anil Kumble,4,0,27,1,6.75,9,1,1,0,1,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Virat Kohli,2,0,16,0,8.00,3,0,1,0,0,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,KP Appanna,3,0,27,0,9.00,5,2,1,1,0,Royal Challengers Bangalore
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Ryan Harris,3.4,0,34,2,9.27,9,1,2,3,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,RP Singh,4,0,21,2,5.25,12,1,0,2,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Andrew Symonds,4,0,33,1,8.25,5,3,1,0,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Pragyan Ojha,4,0,22,2,5.50,12,2,0,0,0,Deccan Chargers
2,indian-premier-league-2009-10-418064,deccan-chargers-vs-royal-challengers-bangalore-46th-match-419151,Harmeet Singh,4,0,24,2,6.00,9,2,0,2,0,Deccan Chargers
