innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Brett Lee,4,0,38,0,9.50,6,4,1,0,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Irfan Pathan,4,0,29,3,7.25,9,4,0,0,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Love Ablish,2,0,17,2,8.50,5,3,0,1,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Piyush Chawla,4,0,24,3,6.00,9,2,0,0,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Yuvraj Singh,2,0,15,0,7.50,1,1,0,0,0,Kings XI Punjab
1,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Ramesh Powar,4,0,28,0,7.00,6,1,1,0,0,Kings XI Punjab
2,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Ryan McLaren,2,0,13,0,6.50,5,2,0,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Zaheer Khan,3.2,0,36,0,10.80,7,7,0,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Lasith Malinga,4,0,36,2,9.00,12,6,1,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Harbhajan Singh,4,0,34,0,8.50,6,3,1,1,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Rajagopal Sathish,2,0,14,0,7.00,3,1,0,1,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Jean-Paul Duminy,3,0,15,1,5.00,8,0,1,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,kings-xi-punjab-vs-mumbai-indians-41st-match-419146,Kieron Pollard,1,0,9,1,9.00,2,1,0,1,0,Mumbai Indians
