innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Sourav Ganguly (c),c Sharma b Ojha,88,54,-,9,5,162.96,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Chris Gayle,c Roach b Symonds,4,7,-,1,0,57.14,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Cheteshwar Pujara,c Ojha b Symonds,17,13,-,3,0,130.76,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Manoj Tiwary, b Ojha,5,7,-,0,0,71.42,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,David Hussey,c Gibbs b Jaskaran Singh,31,27,-,1,2,114.81,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Angelo Mathews,c Gibbs b Jaskaran Singh,4,4,-,0,0,100.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Wriddhiman Saha,not out ,10,4,-,2,0,250.00,Kolkata Knight Riders
1,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Ajit Agarkar,not out ,8,5,-,1,0,160.00,Kolkata Knight Riders
2,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Herschelle Gibbs,c Hussey b Bond,50,45,-,5,1,111.11,Deccan Chargers
2,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Adam Gilchrist (c)†,c Pujara b Agarkar,9,5,-,2,0,180.00,Deccan Chargers
2,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Mohnish  Mishra,c Tiwary b Mathews,29,16,-,6,0,181.25,Deccan Chargers
2,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Andrew Symonds,c Kartik b Gayle,45,37,-,5,0,121.62,Deccan Chargers
2,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Rohit Sharma, b Kartik,2,6,-,0,0,33.33,Deccan Chargers
2,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Tirumalasetti Suman,not out ,15,11,-,0,1,136.36,Deccan Chargers
2,indian-premier-league-2009-10-418064,kolkata-knight-riders-vs-deccan-chargers-30th-match-419135,Venugopal Rao,not out ,0,0,-,0,0,-,Deccan Chargers
