innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Sanath Jayasuriya,lbw b Steyn,2,5,-,0,0,40.00,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Sachin Tendulkar (c), b Vinay Kumar,25,22,-,4,0,113.63,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Aditya Tare,c Pandey b Kallis,9,10,-,2,0,90.00,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Saurabh Tiwary, b Kumble,25,21,-,3,0,119.04,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Ambati Rayudu,c Boucher b Vinay Kumar,3,4,-,0,0,75.00,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Dwayne Bravo,lbw b Vinay Kumar,1,2,-,0,0,50.00,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Rajagopal Sathish,c Dravid b Steyn,24,22,-,3,0,109.09,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Kieron Pollard,c Kohli b Steyn,21,19,-,1,1,110.52,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Harbhajan Singh,c Kallis b Kumar,4,6,-,0,0,66.66,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Zaheer Khan,not out ,23,9,-,3,1,255.55,Mumbai Indians
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Lasith Malinga,not out ,0,0,-,0,0,-,Mumbai Indians
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Manish Pandey,c Pollard b Harbhajan Singh,40,27,-,3,2,148.14,Royal Challengers Bangalore
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Jacques Kallis,not out ,66,55,-,10,0,120.00,Royal Challengers Bangalore
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Robin Uthappa,c Malinga b Khan,23,15,-,2,1,153.33,Royal Challengers Bangalore
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Virat Kohli,run out (Pollard),17,12,-,0,2,141.66,Royal Challengers Bangalore
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Eoin Morgan,not out ,7,6,-,0,0,116.66,Royal Challengers Bangalore
