innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Praveen Kumar,4,0,37,1,9.25,10,3,2,1,0,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Dale Steyn,4,0,26,3,6.50,14,4,0,3,0,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Jacques Kallis,4,0,35,1,8.75,8,5,0,0,0,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Vinay Kumar,4,0,25,3,6.25,10,3,0,0,0,Royal Challengers Bangalore
1,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Anil Kumble,4,0,18,1,4.50,13,1,0,0,0,Royal Challengers Bangalore
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Zaheer Khan,4,0,18,1,4.50,13,2,0,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Lasith Malinga,4,0,25,0,6.25,10,3,0,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Dwayne Bravo,3.1,0,35,0,11.05,5,3,2,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Kieron Pollard,2,0,24,0,12.00,2,4,0,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Harbhajan Singh,4,0,35,1,8.75,9,1,3,0,0,Mumbai Indians
2,indian-premier-league-2009-10-418064,mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119,Sanath Jayasuriya,2,0,16,0,8.00,2,2,0,0,0,Mumbai Indians
