innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Swapnil Asnodkar,c Dilshan b Nannes,5,4,-,1,0,125.00,Rajasthan Royals
1,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Graeme Smith,c Sehwag b Sangwan,18,17,-,3,0,105.88,Rajasthan Royals
1,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Naman Ojha, b Mishra,24,14,-,4,1,171.42,Rajasthan Royals
1,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Yusuf Pathan,c de Villiers b Maharoof,0,5,-,0,0,0.00,Rajasthan Royals
1,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Abhishek Jhunjhunwala,not out ,53,45,-,5,1,117.77,Rajasthan Royals
1,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Paras Dogra,run out (Gambhir/Mishra),29,26,-,1,2,111.53,Rajasthan Royals
1,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Dimitri Mascarenhas,run out (Mishra/Karthik),3,3,-,0,0,100.00,Rajasthan Royals
1,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Amit Uniyal,not out ,4,6,-,0,0,66.66,Rajasthan Royals
2,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Gautam Gambhir (c),c Smith b Mascarenhas,9,8,-,1,0,112.50,Delhi Daredevils
2,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Virender Sehwag,c Smith b Patel,75,34,-,8,5,220.58,Delhi Daredevils
2,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Tillakaratne Dilshan,c Ojha b Mascarenhas,0,1,-,0,0,0.00,Delhi Daredevils
2,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,AB de Villiers,c sub (FY Fazal) b Warne,15,24,-,0,0,62.50,Delhi Daredevils
2,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Dinesh Karthik,not out ,23,26,-,2,0,88.46,Delhi Daredevils
2,indian-premier-league-2009-10-418064,rajasthan-royals-vs-delhi-daredevils-6th-match-419111,Mithun Manhas,not out ,11,10,-,1,0,110.00,Delhi Daredevils
