innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Dirk Nannes,4,0,27,3,6.75,12,4,0,2,0,Delhi Daredevils
1,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Ashish Nehra,4,0,27,3,6.75,11,2,1,2,0,Delhi Daredevils
1,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Pradeep Sangwan,3,0,41,1,13.66,5,5,2,1,0,Delhi Daredevils
1,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Tillakaratne Dilshan,3,0,23,0,7.66,4,1,1,0,0,Delhi Daredevils
1,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Amit Mishra,3,0,24,0,8.00,6,2,1,0,0,Delhi Daredevils
1,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Rajat Bhatia,3,0,17,2,5.66,7,1,0,0,0,Delhi Daredevils
2,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Albie Morkel,4,0,32,1,8.00,10,5,0,0,0,Chennai Super Kings
2,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Sudeep Tyagi,3,0,18,2,6.00,11,1,1,0,1,Chennai Super Kings
2,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Shadab Jakati,4,0,24,4,6.00,12,3,0,0,0,Chennai Super Kings
2,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Muthiah Muralidaran,4,0,22,1,5.50,10,2,0,0,0,Chennai Super Kings
2,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Suresh Raina,1,0,7,0,7.00,3,1,0,0,0,Chennai Super Kings
2,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Lakshmipathy Balaji,3,0,26,0,8.66,6,3,1,0,0,Chennai Super Kings
2,indian-premier-league-2009-374163,chennai-super-kings-vs-delhi-daredevils-26th-match-392206,Jacob Oram,1,0,14,0,14.00,2,0,2,0,0,Chennai Super Kings
