innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Albie Morkel,3,0,24,1,8.00,8,4,0,0,1,Chennai Super Kings
1,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Sudeep Tyagi,2,0,12,0,6.00,5,1,0,0,0,Chennai Super Kings
1,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Lakshmipathy Balaji,3,0,13,1,4.33,9,1,0,0,0,Chennai Super Kings
1,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Jacob Oram,1,0,8,0,8.00,4,0,1,0,0,Chennai Super Kings
1,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Muthiah Muralidaran,4,0,22,2,5.50,13,3,0,0,0,Chennai Super Kings
1,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Shadab Jakati,4,0,35,2,8.75,10,1,3,1,0,Chennai Super Kings
1,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Suresh Raina,3,0,21,0,7.00,5,1,1,0,0,Chennai Super Kings
2,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Yusuf Pathan,4,0,28,0,7.00,9,3,0,1,0,Rajasthan Royals
2,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Amit Singh,3,0,25,1,8.33,10,3,1,0,0,Rajasthan Royals
2,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Siddharth Trivedi,3,0,23,1,7.66,7,2,1,1,0,Rajasthan Royals
2,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Shane Harwood,2,0,22,0,11.00,6,3,1,1,0,Rajasthan Royals
2,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Shane Warne,4,0,27,1,6.75,14,2,1,3,0,Rajasthan Royals
2,indian-premier-league-2009-374163,chennai-super-kings-vs-rajasthan-royals-37th-match-392217,Ravindra Jadeja,2.2,0,14,0,6.00,6,1,0,0,0,Rajasthan Royals
