innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Ryan Harris,4,0,31,0,7.75,12,2,2,2,0,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,RP Singh,4,0,26,3,6.50,10,2,0,2,0,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Andrew Symonds,2,0,10,1,5.00,8,0,1,1,0,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Rohit Sharma,2,0,23,0,11.50,2,3,0,0,0,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Tirumalasetti Suman,4,0,23,1,5.75,10,2,0,0,1,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Venugopal Rao,2,0,8,1,4.00,4,0,0,0,0,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Pragyan Ojha,2,0,12,0,6.00,3,1,0,0,0,Deccan Chargers
2,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Brett Lee,4,0,31,0,7.75,12,3,1,0,2,Kings XI Punjab
2,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Irfan Pathan,3,0,29,2,9.66,9,4,1,1,0,Kings XI Punjab
2,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Sreesanth,2,0,10,0,5.00,8,2,0,0,0,Kings XI Punjab
2,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Ramesh Powar,2,0,11,2,5.50,7,1,0,1,0,Kings XI Punjab
2,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Piyush Chawla,4,0,20,0,5.00,11,1,0,0,0,Kings XI Punjab
2,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Yuvraj Singh,4,0,13,3,3.25,15,0,0,0,0,Kings XI Punjab
2,indian-premier-league-2009-374163,deccan-chargers-vs-kings-xi-punjab-49th-match-392229,Wilkin Mota,1,0,18,0,18.00,1,1,2,0,0,Kings XI Punjab
