innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Adam Gilchrist (c)†,c Shah b Bravo,35,20,-,3,3,175.00,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Herschelle Gibbs,run out (Bravo/Khan),58,44,-,6,2,131.81,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Dwayne Smith, b Jayasuriya,35,22,-,2,2,159.09,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Rohit Sharma,c Dhawan b Bravo,3,5,-,0,0,60.00,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,VVS Laxman,c Nayar b Bravo,0,1,-,0,0,0.00,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Venugopal Rao, b Malinga,9,10,-,0,0,90.00,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Dwaraka Ravi Teja,lbw b Malinga,9,9,-,1,0,100.00,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,RP Singh,c Jayasuriya b Harbhajan Singh,4,4,-,0,0,100.00,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Fidel Edwards, b Malinga,1,3,-,0,0,33.33,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Pragyan Ojha,not out ,0,2,-,0,0,0.00,Deccan Chargers
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Sanath Jayasuriya,c Gilchrist b Singh,1,8,-,0,0,12.50,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Sachin Tendulkar (c),c Gibbs b Ojha,36,27,-,3,2,133.33,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Jean-Paul Duminy,c Smith b Ojha,47,40,-,4,2,117.50,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Shikhar Dhawan, b Ojha,3,7,-,0,0,42.85,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Dwayne Bravo,lbw b Edwards,21,18,-,2,0,116.66,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Abhishek Nayar,c Gilchrist b Edwards,10,6,-,0,1,166.66,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Harbhajan Singh,c Smith b Singh,20,8,-,1,2,250.00,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Zaheer Khan,not out ,4,6,-,0,0,66.66,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-12th-match-392192,Pinal Shah,not out ,1,1,-,0,0,100.00,Mumbai Indians
