innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Adam Gilchrist (c)†, b Raje,25,29,-,2,1,86.20,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Herschelle Gibbs,c Tendulkar b Kulkarni,0,5,-,0,0,0.00,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Tirumalasetti Suman,c Shah b Bravo,20,13,-,1,2,153.84,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Rohit Sharma,c Bravo b Malinga,38,36,-,2,1,105.55,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Dwayne Smith, b Jayasuriya,16,12,-,1,1,133.33,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Venugopal Rao,run out (Bravo/Shah),28,17,-,2,1,164.70,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Dwaraka Ravi Teja,not out ,4,4,-,0,0,100.00,Deccan Chargers
1,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Ryan Harris,not out ,5,4,-,0,0,125.00,Deccan Chargers
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Sanath Jayasuriya,c Harris b Singh,5,7,-,1,0,71.42,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Sachin Tendulkar (c), b Singh,2,4,-,0,0,50.00,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Pinal Shah,c Smith b Suman,29,19,-,3,2,152.63,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Jean-Paul Duminy,c Gilchrist b Sharma,52,48,-,7,0,108.33,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Dwayne Bravo,c Harris b Suman,13,16,-,0,0,81.25,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Abhishek Nayar, b Sharma,1,4,-,0,0,25.00,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Harbhajan Singh, b Sharma,0,1,-,0,0,0.00,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Saurabh Tiwary,st Gilchrist b Sharma,3,5,-,0,0,60.00,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Rohan Raje,not out ,11,7,-,0,1,157.14,Mumbai Indians
2,indian-premier-league-2009-374163,deccan-chargers-vs-mumbai-indians-32nd-match-392212,Dhawal Kulkarni,not out ,7,9,-,0,0,77.77,Mumbai Indians
