innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Ravi Bopara,lbw b Vettori,22,16,-,0,2,137.50,Kings XI Punjab
1,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Karan Goel,c Vettori b Mahesh,38,21,-,3,3,180.95,Kings XI Punjab
1,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Yuvraj Singh (c),run out (Karthik/Vettori),16,11,-,0,2,145.45,Kings XI Punjab
1,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Kumar Sangakkara,c Nannes b Vettori,8,11,-,1,0,72.72,Kings XI Punjab
1,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Mahela Jayawardene,c Dilshan b Vettori,6,6,-,1,0,100.00,Kings XI Punjab
1,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Irfan Pathan,c Dilshan b Salvi,6,7,-,0,0,85.71,Kings XI Punjab
1,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Piyush Chawla,run out (Tiwary),0,0,-,0,0,-,Kings XI Punjab
1,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Taruwar Kohli,not out ,0,0,-,0,0,-,Kings XI Punjab
2,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Gautam Gambhir,not out ,15,13,-,2,0,115.38,Delhi Daredevils
2,indian-premier-league-2009-374163,delhi-daredevils-vs-kings-xi-punjab-3rd-match-392183,Virender Sehwag (c),not out ,38,16,-,4,3,237.50,Delhi Daredevils
