innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Ravi Bopara,c McCullum b Ganguly,15,15,-,2,0,100.00,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Karan Goel,c Gayle b Sharma,0,7,-,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Irfan Pathan,c Kartik b Ganguly,32,17,-,5,1,188.23,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Kumar Sangakkara,run out (Chopra/McCullum),26,24,-,2,0,108.33,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Yuvraj Singh (c),c Yashpal Singh b Henriques,38,28,-,3,2,135.71,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Mahela Jayawardene,not out ,31,19,-,3,1,163.15,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Taruwar Kohli,c McCullum b Dinda,1,4,-,0,0,25.00,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Piyush Chawla,not out ,3,6,-,0,0,50.00,Kings XI Punjab
2,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Brendon McCullum (c)†,c Sangakkara b Malik,21,16,-,1,2,131.25,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Chris Gayle,not out ,44,26,-,2,4,169.23,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kings-xi-punjab-vs-kolkata-knight-riders-6th-match-392186,Brad Hodge,not out ,10,14,-,0,0,71.42,Kolkata Knight Riders
