innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Sunny Sohal,run out (Tendulkar),43,23,-,5,3,186.95,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Simon Katich,c Harbhajan Singh b Kulkarni,0,2,-,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Irfan Pathan,run out (Bravo),0,3,-,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Kumar Sangakkara, b Harbhajan Singh,8,19,-,0,0,42.10,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Yuvraj Singh (c),c Bravo b Duminy,12,18,-,2,0,66.66,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Wilkin Mota,c Harbhajan Singh b Duminy,4,7,-,0,0,57.14,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Luke Pomersbach, b Rahane,5,7,-,0,0,71.42,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Karan Goel,not out ,20,21,-,2,0,95.23,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Brett Lee,c Raje b Malinga,8,12,-,1,0,66.66,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Piyush Chawla,run out (Takawale),0,0,-,0,0,-,Kings XI Punjab
1,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Sreesanth,not out ,1,10,-,0,0,10.00,Kings XI Punjab
2,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Sanath Jayasuriya,c Mota b Lee,4,7,-,1,0,57.14,Mumbai Indians
2,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Dwayne Bravo,not out ,70,59,-,7,3,118.64,Mumbai Indians
2,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Ajinkya Rahane,lbw b Chawla,1,5,-,0,0,20.00,Mumbai Indians
2,indian-premier-league-2009-374163,kings-xi-punjab-vs-mumbai-indians-42nd-match-392222,Sachin Tendulkar (c),not out ,41,29,-,4,1,141.37,Mumbai Indians
