innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Sanath Jayasuriya,c Ghosh b Shukla,52,32,75,2,4,162.50,Mumbai Indians
1,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Sachin Tendulkar (c),lbw b Shukla,68,45,63,6,4,151.11,Mumbai Indians
1,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Harbhajan Singh,c Mendis b Hodge,18,8,6,1,2,225.00,Mumbai Indians
1,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Jean-Paul Duminy,not out ,18,14,26,1,0,128.57,Mumbai Indians
1,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Abhishek Nayar,run out (Shukla/McCullum),3,3,4,0,0,100.00,Mumbai Indians
1,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Dwayne Bravo,c Gayle b Shukla,3,5,6,0,0,60.00,Mumbai Indians
1,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Shikhar Dhawan,c McCullum b Sharma,12,10,6,1,0,120.00,Mumbai Indians
1,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Saurabh Tiwary,not out ,4,3,4,0,0,133.33,Mumbai Indians
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Brendon McCullum (c)†,c Duminy b Malinga,1,6,10,0,0,16.66,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Chris Gayle,c Tendulkar b Bravo,12,11,17,0,1,109.09,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Brad Hodge, b Nayar,24,22,46,3,0,109.09,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Sourav Ganguly,c Bravo b Nayar,34,30,48,3,1,113.33,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Yashpal Singh,c Shah b Bravo,8,8,13,0,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Arindam Ghosh,c Tendulkar b Nayar,0,1,2,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Laxmi Shukla,c Jayasuriya b Khan,6,10,10,1,0,60.00,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Ishant Sharma,not out ,6,3,10,1,0,200.00,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Ajantha Mendis, b Malinga,0,1,2,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Ashok Dinda, b Malinga,0,1,1,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2009-374163,kolkata-knight-riders-vs-mumbai-indians-17th-match-392197,Anureet Singh,absent hurt,-,-,-,-,-,-,Kolkata Knight Riders
