innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Kevin Pietersen,4,0,24,1,6.00,10,1,0,2,0,Royal Challengers Bangalore
1,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Roelof van der Merwe,4,0,28,1,7.00,6,2,0,0,0,Royal Challengers Bangalore
1,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Pankaj Singh,1,0,14,0,14.00,3,2,1,0,0,Royal Challengers Bangalore
1,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Praveen Kumar,4,0,25,1,6.25,10,3,0,1,0,Royal Challengers Bangalore
1,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Anil Kumble,4,0,16,2,4.00,13,1,0,0,0,Royal Challengers Bangalore
1,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,KP Appanna,3,0,30,1,10.00,3,3,1,0,0,Royal Challengers Bangalore
2,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Ishant Sharma,4,0,15,2,3.75,15,1,0,1,0,Kolkata Knight Riders
2,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Ajit Agarkar,2,0,23,0,11.50,3,3,0,4,0,Kolkata Knight Riders
2,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Murali Kartik,4,0,26,0,6.50,10,3,0,1,0,Kolkata Knight Riders
2,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Chris Gayle,3.5,0,31,0,8.08,8,3,1,0,0,Kolkata Knight Riders
2,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Brad Hodge,4,0,29,3,7.25,7,0,2,0,0,Kolkata Knight Riders
2,indian-premier-league-2009-374163,royal-challengers-bangalore-vs-kolkata-knight-riders-19th-match-392199,Sourav Ganguly,2,0,17,0,8.50,2,2,0,0,0,Kolkata Knight Riders
