innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Murali Vijay,c McCullum b Thomas,31,29,-,2,1,106.89,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Michael Hussey,c Pandey b Taylor,61,48,-,6,1,127.08,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Suresh Raina, b Thomas,2,4,-,0,0,50.00,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,MS Dhoni (c)†,st Uthappa b Sharma,26,21,-,2,1,123.80,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Albie Morkel,c Ryder b Taylor,0,4,-,0,0,0.00,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,S Badrinath,not out ,11,7,-,0,1,157.14,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Srikkanth Anirudha,c Uthappa b Taylor,7,7,-,0,0,100.00,Chennai Super Kings
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Jesse Ryder, b Ashwin,15,11,-,1,1,136.36,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Mohnish  Mishra, b Morkel,9,9,-,1,0,100.00,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Manish Pandey, b Morkel,12,9,-,2,0,133.33,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Robin Uthappa, b Ashwin,0,4,-,0,0,0.00,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Yuvraj Singh (c),c Jakati b Morkel,34,43,-,2,0,79.06,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Mithun Manhas,c Dhoni b Bollinger,20,23,-,0,1,86.95,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Nathan McCullum,c Jakati b Bollinger,15,16,-,0,0,93.75,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Rahul Sharma,run out (Dhoni),1,1,-,0,0,100.00,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Jerome Taylor,run out (sub [A Mukund]),2,1,-,0,0,200.00,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Murali Kartik,not out ,1,2,-,0,0,50.00,Pune Warriors
2,indian-premier-league-2011-466304,chennai-super-kings-vs-pune-warriors-29th-match-501226,Alfonso Thomas,not out ,1,2,-,0,0,50.00,Pune Warriors
