innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Albie Morkel,4,0,24,2,6.00,12,3,0,0,0,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Doug Bollinger,4,0,28,0,7.00,10,3,0,0,1,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Ravichandran Ashwin,4,0,36,1,9.00,7,6,0,1,0,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Shadab Jakati,4,0,22,2,5.50,8,1,0,0,0,Chennai Super Kings
1,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Suraj Randiv,4,0,32,1,8.00,9,5,0,0,0,Chennai Super Kings
2,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Nayan Doshi,2,0,24,0,12.00,4,2,2,0,0,Rajasthan Royals
2,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Johan Botha,4,0,22,1,5.50,9,0,0,0,0,Rajasthan Royals
2,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Shane Watson,4,0,27,0,6.75,6,2,0,0,0,Rajasthan Royals
2,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Siddharth Trivedi,3.4,0,37,1,10.09,3,3,0,3,0,Rajasthan Royals
2,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Shane Warne,3,0,14,0,4.66,8,1,0,0,0,Rajasthan Royals
2,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Stuart Binny,1,0,12,0,12.00,0,2,0,0,0,Rajasthan Royals
2,indian-premier-league-2011-466304,chennai-super-kings-vs-rajasthan-royals-43rd-match-501240,Ashok Menaria,1,0,13,0,13.00,1,2,0,1,0,Rajasthan Royals
