innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Jacob Oram,2,0,13,0,6.50,6,1,0,0,0,Rajasthan Royals
1,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Amit Singh,4,0,35,3,8.75,11,4,2,0,0,Rajasthan Royals
1,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Johan Botha,4,0,31,0,7.75,6,2,1,0,0,Rajasthan Royals
1,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Siddharth Trivedi,4,0,15,3,3.75,13,1,0,0,0,Rajasthan Royals
1,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Shane Warne,4,0,21,2,5.25,13,0,1,1,0,Rajasthan Royals
1,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Ashok Menaria,1,0,8,0,8.00,1,1,0,0,0,Rajasthan Royals
1,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Stuart Binny,1,0,14,0,14.00,0,1,1,0,0,Rajasthan Royals
2,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Pragyan Ojha,3.5,0,44,0,11.47,3,5,1,0,0,Deccan Chargers
2,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Dale Steyn,4,0,18,2,4.50,16,3,0,0,1,Deccan Chargers
2,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Ishant Sharma,4,0,24,0,6.00,13,2,1,1,1,Deccan Chargers
2,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Dan Christian,3,0,25,0,8.33,6,3,0,0,0,Deccan Chargers
2,indian-premier-league-2011-466304,deccan-chargers-vs-rajasthan-royals-2nd-match-501199,Amit Mishra,4,0,28,0,7.00,9,2,1,0,0,Deccan Chargers
