innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Ashok Dinda,4,0,33,1,8.25,8,5,0,0,0,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Irfan Pathan,4,0,28,1,7.00,12,5,0,1,0,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Morne Morkel,4,0,31,0,7.75,9,3,1,1,0,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,James Hopes,4,0,36,1,9.00,5,3,1,0,0,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Shahbaz Nadeem,3,0,24,1,8.00,6,2,1,0,0,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Yogesh Nagar,1,0,13,0,13.00,0,2,0,0,0,Delhi Daredevils
2,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Dale Steyn,4,0,24,0,6.00,12,2,1,1,0,Deccan Chargers
2,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Dan Christian,4,0,38,2,9.50,9,5,1,0,0,Deccan Chargers
2,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Harmeet Singh,4,0,27,2,6.75,13,3,0,1,0,Deccan Chargers
2,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Pragyan Ojha,3,0,21,1,7.00,6,1,1,0,0,Deccan Chargers
2,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Amit Mishra,4,0,28,1,7.00,6,1,1,0,0,Deccan Chargers
2,indian-premier-league-2011-466304,delhi-daredevils-vs-deccan-chargers-19th-match-501216,Shikhar Dhawan,1,0,7,1,7.00,4,0,1,0,0,Deccan Chargers
