innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,David Warner,c Vinay Kumar b Sreesanth,13,15,-,2,0,86.66,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Virender Sehwag (c),c Patel b Parameswaran,15,9,-,2,1,166.66,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Naman Ojha,c Patel b Singh,13,14,-,1,1,92.85,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Yogesh Nagar,c Singh b Vinay Kumar,18,23,-,1,0,78.26,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Venugopal Rao,c Singh b Parameswaran,40,36,-,5,0,111.11,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Travis Birt,c Patel b Vinay Kumar,27,15,-,5,0,180.00,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Irfan Pathan,not out ,5,6,-,0,0,83.33,Delhi Daredevils
1,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Roelof van der Merwe,not out ,2,3,-,0,0,66.66,Delhi Daredevils
2,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Michael Klinger,lbw b van der Merwe,18,20,-,3,0,90.00,Kochi Tuskers Kerala
2,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Brendon McCullum,c Yadav b Morkel,37,19,-,5,2,194.73,Kochi Tuskers Kerala
2,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Parthiv Patel,not out ,37,31,-,5,0,119.35,Kochi Tuskers Kerala
2,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Mahela Jayawardene (c),run out (Nagar),7,10,-,1,0,70.00,Kochi Tuskers Kerala
2,indian-premier-league-2011-466304,delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238,Brad Hodge,not out ,24,13,-,3,1,184.61,Kochi Tuskers Kerala
