innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Paul Valthaty, b Pathan,62,50,-,6,3,124.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Adam Gilchrist (c)†,c Warner b Morkel,9,9,-,2,0,100.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Shaun Marsh,c Morkel b Pathan,46,28,-,5,3,164.28,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Dinesh Karthik,c Hopes b Salvi,27,19,-,4,0,142.10,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,David Hussey,c Hopes b Salvi,3,4,-,0,0,75.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Mandeep Singh, b Pathan,11,7,-,2,0,157.14,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Ryan Harris,not out ,2,2,-,0,0,100.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Piyush Chawla,not out ,1,1,-,0,0,100.00,Kings XI Punjab
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Naman Ojha,c Gilchrist b Srivastava,28,28,-,2,2,100.00,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,David Warner,c Gilchrist b Srivastava,29,29,-,4,1,100.00,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Venugopal Rao,c Harris b Chawla,16,13,-,1,1,123.07,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Sridharan Sriram,c Karthik b Chawla,4,7,-,0,0,57.14,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Irfan Pathan,c Mandeep Singh b Valthaty,3,7,-,0,0,42.85,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,James Hopes (c),c Gilchrist b Chawla,7,7,-,1,0,100.00,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Travis Birt,c Harris b Kumar,16,11,-,2,1,145.45,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Yogesh Nagar,lbw b Harris,10,7,-,2,0,142.85,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Morne Morkel,not out ,16,6,-,1,1,266.66,Delhi Daredevils
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-delhi-daredevils-60th-match-501257,Varun Aaron,not out ,0,5,-,0,0,0.00,Delhi Daredevils
