innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Paul Valthaty,c Blizzard b Patel,14,14,-,3,0,100.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Adam Gilchrist (c)†,c Rayudu b Malinga,28,28,-,2,1,100.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Shaun Marsh,c Pollard b Patel,43,34,-,5,0,126.47,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Dinesh Karthik,c Blizzard b Patel,31,24,-,4,1,129.16,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,David Hussey,c Blizzard b Patel,0,3,-,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Mandeep Singh,run out (Malinga),8,5,-,0,1,160.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Bipul Sharma,not out ,6,4,-,0,0,150.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Ryan Harris,c Pollard b Patel,6,4,-,1,0,150.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Praveen Kumar, b Malinga,2,2,-,0,0,100.00,Kings XI Punjab
1,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Shalabh Srivastava,not out ,3,2,-,0,0,150.00,Kings XI Punjab
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Aiden Blizzard,c Gilchrist b Kumar,15,10,-,3,0,150.00,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Sachin Tendulkar (c),c Marsh b Kumar,6,9,-,1,0,66.66,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Rohit Sharma,st Gilchrist b Bipul Sharma,5,5,-,1,0,100.00,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Andrew Symonds,run out (Mandeep Singh/Gilchrist),8,6,-,1,0,133.33,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Ambati Rayudu,c Bipul Sharma b Srivastava,13,19,-,2,0,68.42,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Tirumalasetti Suman,c Kumar b Harris,4,5,-,0,0,80.00,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Kieron Pollard,c Marsh b Bhatt,17,11,-,1,1,154.54,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Harbhajan Singh, b Bhatt,12,7,-,1,1,171.42,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Dhawal Kulkarni,c & b Bhatt,2,4,-,0,0,50.00,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Lasith Malinga,not out ,0,0,-,0,0,-,Mumbai Indians
2,indian-premier-league-2011-466304,kings-xi-punjab-vs-mumbai-indians-54th-match-501251,Munaf Patel,lbw b Bhatt,0,1,-,0,0,0.00,Mumbai Indians
