innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,RP Singh,4,0,21,2,5.25,12,1,0,2,0,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Sreesanth,4,1,22,0,5.50,17,4,0,1,2,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Vinay Kumar,4,0,25,3,6.25,10,3,0,0,0,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Thisara Perera,4,0,30,1,7.50,8,4,0,0,0,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Raiphi Gomez,1,0,4,0,4.00,2,0,0,0,0,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Ravindra Jadeja,3,0,25,0,8.33,5,1,1,0,0,Kochi Tuskers Kerala
2,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Dale Steyn,3.3,1,16,3,4.57,16,3,0,2,0,Deccan Chargers
2,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Ishant Sharma,3,0,12,5,4.00,13,2,0,1,0,Deccan Chargers
2,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Dan Christian,3,0,12,0,4.00,11,1,0,1,0,Deccan Chargers
2,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Manpreet Gony,3,0,19,1,6.33,8,3,0,0,0,Deccan Chargers
2,indian-premier-league-2011-466304,kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229,Amit Mishra,4,0,12,1,3.00,12,0,0,0,0,Deccan Chargers
