innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Jacques Kallis,c Dhawan b Duminy,53,45,-,7,1,117.77,Kolkata Knight Riders
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Manvinder  Bisla,lbw b Mishra,19,21,-,3,0,90.47,Kolkata Knight Riders
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Gautam Gambhir (c), b Mishra,29,18,-,4,0,161.11,Kolkata Knight Riders
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Manoj Tiwary,not out ,30,21,-,2,2,142.85,Kolkata Knight Riders
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Yusuf Pathan,c Jaggi b Steyn,22,15,-,4,0,146.66,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Shikhar Dhawan,run out (Morgan),7,7,-,1,0,100.00,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Ishank Jaggi, b Iqbal Abdulla,3,9,-,0,0,33.33,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Bharat Chipli,c Kallis b Bhatia,48,40,-,6,1,120.00,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Kumar Sangakkara (c)†,c Kallis b Bhatia,16,15,-,2,0,106.66,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Jean-Paul Duminy,c Kallis b Iqbal Abdulla,6,8,-,0,0,75.00,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Dan Christian,c ten Doeschate b Iqbal Abdulla,25,13,-,1,2,192.30,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Dwaraka Ravi Teja,c Kallis b Unadkat,14,10,-,1,1,140.00,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Dale Steyn, b Unadkat,13,12,-,1,0,108.33,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Amit Mishra,not out ,12,5,-,1,1,240.00,Deccan Chargers
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-deccan-chargers-6th-match-501203,Ishant Sharma,not out ,1,1,-,0,0,100.00,Deccan Chargers
