innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Brendon McCullum,c Morgan b Shakib Al Hasan,23,19,-,2,1,121.05,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Mahela Jayawardene (c),lbw b Pathan,25,27,-,5,0,92.59,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Parthiv Patel,lbw b Pathan,9,11,-,1,0,81.81,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Brad Hodge, b Pathan,2,8,-,0,0,25.00,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Ravindra Jadeja,c Pathan b Lee,29,18,-,1,3,161.11,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Kedar Jadhav, b Shakib Al Hasan,12,11,-,1,0,109.09,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Raiphi Gomez,not out ,10,10,-,0,1,100.00,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Vinay Kumar, b Shakib Al Hasan,11,10,-,1,0,110.00,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Ramesh Powar,not out ,3,6,-,0,0,50.00,Kochi Tuskers Kerala
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Manvinder  Bisla, b Jadeja,16,14,-,2,0,114.28,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Jacques Kallis,c Jadhav b Vinay Kumar,6,9,-,0,0,66.66,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Gautam Gambhir (c), b Singh,3,5,-,0,0,60.00,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Manoj Tiwary,st Patel b Jadeja,46,51,-,2,2,90.19,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Eoin Morgan,run out (Jayawardene),10,12,-,1,0,83.33,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Shakib Al Hasan, b Singh,2,5,-,0,0,40.00,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Yusuf Pathan,c Muralidaran b Powar,8,3,-,0,1,266.66,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Rajat Bhatia,run out (Patel/Jadeja),10,8,-,1,0,125.00,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Brett Lee,c Jadhav b Muralidaran,1,3,-,0,0,33.33,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Iqbal Abdulla,not out ,12,9,-,1,0,133.33,Kolkata Knight Riders
2,indian-premier-league-2011-466304,kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219,Lakshmipathy Balaji,not out ,1,1,-,0,0,100.00,Kolkata Knight Riders
