innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Davy Jacobs, b Bipul Sharma,10,10,-,2,0,100.00,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Sachin Tendulkar (c),c Nayar b Harris,51,45,-,3,1,113.33,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Ambati Rayudu,c Karthik b Chawla,51,37,-,8,1,137.83,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Kieron Pollard,c Valthaty b Chawla,20,11,-,1,2,181.81,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Rohit Sharma,c Hussey b Harris,18,11,-,3,0,163.63,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Andrew Symonds,not out ,4,6,-,0,0,66.66,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Tirumalasetti Suman,not out ,0,0,-,0,0,-,Mumbai Indians
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Paul Valthaty,c Pollard b Symonds,33,38,-,1,2,86.84,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Adam Gilchrist (c)†,lbw b Harbhajan Singh,0,2,-,0,0,0.00,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Shaun Marsh,c Tendulkar b Malinga,61,47,-,8,0,129.78,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,David Hussey,c Sharma b Patel,1,5,-,0,0,20.00,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Dinesh Karthik,lbw b Pollard,1,2,-,0,0,50.00,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Abhishek Nayar,c Symonds b Harbhajan Singh,14,9,-,2,0,155.55,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Bipul Sharma, b Malinga,1,2,-,0,0,50.00,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Piyush Chawla,not out ,10,10,-,1,0,100.00,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Ryan Harris,c Pollard b Patel,1,2,-,0,0,50.00,Kings XI Punjab
2,indian-premier-league-2011-466304,mumbai-indians-vs-kings-xi-punjab-40th-match-501237,Praveen Kumar,not out ,2,3,-,0,0,66.66,Kings XI Punjab
