innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Dhawal Kulkarni,4,0,32,1,8.00,10,5,0,2,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Munaf Patel,4,0,27,3,6.75,11,4,0,0,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Harbhajan Singh,4,0,26,1,6.50,9,3,0,1,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Lasith Malinga,4,0,19,1,4.75,11,1,0,1,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,James Franklin,1,0,10,0,10.00,1,0,1,0,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Kieron Pollard,3,0,31,0,10.33,5,2,2,0,0,Mumbai Indians
2,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Brett Lee,4,0,37,1,9.25,8,4,1,0,0,Kolkata Knight Riders
2,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Iqbal Abdulla,3,0,23,0,7.66,8,4,0,0,0,Kolkata Knight Riders
2,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Yusuf Pathan,2,0,18,0,9.00,6,4,0,0,0,Kolkata Knight Riders
2,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Shakib Al Hasan,3.2,0,24,2,7.20,8,2,1,0,0,Kolkata Knight Riders
2,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Rajat Bhatia,1,0,9,0,9.00,2,0,1,0,0,Kolkata Knight Riders
2,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Jacques Kallis,4,0,18,2,4.50,14,2,0,1,0,Kolkata Knight Riders
2,indian-premier-league-2011-466304,mumbai-indians-vs-kolkata-knight-riders-elimination-final-501269,Lakshmipathy Balaji,2,0,16,0,8.00,4,2,0,0,0,Kolkata Knight Riders
