innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Ali Murtaza,4,0,18,2,4.50,13,2,0,0,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Lasith Malinga,4,0,28,2,7.00,12,4,0,1,1,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Abu Nechim,3,1,13,2,4.33,11,2,0,0,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Munaf Patel,2.2,0,8,3,3.42,10,1,0,0,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Kieron Pollard,1,0,13,0,13.00,2,1,1,0,1,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,James Franklin,3,0,32,1,10.66,6,3,1,0,2,Mumbai Indians
2,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Alfonso Thomas,4,0,16,1,4.00,15,2,0,0,0,Pune Warriors
2,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Shrikant Wagh,2,0,9,1,4.50,7,1,0,0,0,Pune Warriors
2,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Murali Kartik,4,0,29,0,7.25,6,1,1,1,0,Pune Warriors
2,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Wayne Parnell,4,0,28,0,7.00,9,4,0,0,0,Pune Warriors
2,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Rahul Sharma,3,0,14,1,4.66,8,1,0,0,0,Pune Warriors
2,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Jesse Ryder,2,0,15,0,7.50,2,1,0,0,0,Pune Warriors
2,indian-premier-league-2011-466304,mumbai-indians-vs-pune-warriors-21st-match-501218,Yuvraj Singh,1,0,5,0,5.00,2,0,0,0,0,Pune Warriors
