innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Abu Nechim,4,0,56,1,14.00,5,3,3,5,1,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Harbhajan Singh,4,0,40,0,10.00,9,3,3,1,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Lasith Malinga,4,0,24,0,6.00,9,2,0,0,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Munaf Patel,4,0,27,2,6.75,7,3,0,0,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Rohit Sharma,1,0,14,0,14.00,1,1,1,0,0,Mumbai Indians
1,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Kieron Pollard,3,0,24,1,8.00,5,1,1,2,0,Mumbai Indians
2,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Zaheer Khan,4,0,32,1,8.00,9,3,1,1,0,Royal Challengers Bangalore
2,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Sreenath Aravind,3,0,27,2,9.00,8,5,0,1,0,Royal Challengers Bangalore
2,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Chris Gayle,3,0,11,0,3.66,10,1,0,0,0,Royal Challengers Bangalore
2,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Abhimanyu Mithun,2,0,26,0,13.00,3,2,2,0,0,Royal Challengers Bangalore
2,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Daniel Vettori,4,0,19,3,4.75,9,1,0,0,0,Royal Challengers Bangalore
2,indian-premier-league-2011-466304,mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270,Jamaluddin Syed Mohammad,4,0,25,2,6.25,10,1,1,0,0,Royal Challengers Bangalore
