innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Brendon McCullum,c Uthappa b Thomas,0,1,-,0,0,0.00,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,VVS Laxman, b Parnell,0,3,-,0,0,0.00,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Parthiv Patel,c Smith b Parnell,21,19,-,4,0,110.52,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Mahela Jayawardene (c),c Uthappa b Parnell,2,3,-,0,0,66.66,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Brad Hodge,c Kartik b Sharma,39,36,-,2,2,108.33,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Ravindra Jadeja,c Parnell b Ryder,47,33,-,3,3,142.42,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Raiphi Gomez,not out ,26,18,-,3,0,144.44,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Vinay Kumar,run out (Parnell/Uthappa),1,1,-,0,0,100.00,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Sreesanth,run out (Uthappa/sub [NL McCullum]),1,6,-,0,0,16.66,Kochi Tuskers Kerala
1,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,RP Singh,not out ,0,1,-,0,0,0.00,Kochi Tuskers Kerala
2,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Jesse Ryder,c & b Vinay Kumar,17,10,-,3,0,170.00,Pune Warriors
2,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Graeme Smith,c Singh b Jadeja,24,24,-,3,0,100.00,Pune Warriors
2,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Mithun Manhas,c Jadeja b Hodge,12,19,-,1,0,63.15,Pune Warriors
2,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Yuvraj Singh (c),c Patel b Hodge,8,12,-,0,0,66.66,Pune Warriors
2,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Robin Uthappa, b Muralidaran,31,13,-,3,2,238.46,Pune Warriors
2,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Mohnish  Mishra,not out ,37,21,-,2,2,176.19,Pune Warriors
2,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Wayne Parnell,run out (Gomez/Jadeja),1,5,-,0,0,20.00,Pune Warriors
2,indian-premier-league-2011-466304,pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207,Rahul Sharma,not out ,10,9,-,0,1,111.11,Pune Warriors
